Craving Type,Cuisine,Mood Associated,Description,Food Name
Cold,Various,Tired/Hot Day,Coffee served over ice #53,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #910,Pakora
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #191",Fried Chicken
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #604,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #353",Sour Candy
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #737",Sour Candy
Cold,Various,Tired/Hot Day,Coffee served over ice #825,Cold Coffee
Crunchy,Indian,Rainy Day,Fried vegetable fritters #678,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #539,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #49",Mac & Cheese
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #182,Khichdi
Cold,Various,Happy/Chill,Frozen sweet treat #795,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #604",Spicy Ramen
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #384,Khichdi
Sweet,Western,Comfort,Rich chocolate dessert #405,Chocolate Cake
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #778,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #426,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #493,Chocolate Cake
Sweet,Western,Comfort,Rich chocolate dessert #79,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #240,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #516,French Fries
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #830",Fried Chicken
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #534",Tomato Soup
Warm,Western,Cozy/Winter,Warm milk with chocolate #365,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #813",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #721",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #668",Lemon Pickle
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #394",Sour Candy
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #433",Sour Candy
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #512,Nachos
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #639",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #348,Hot Chocolate
Sweet,Western,Comfort,Rich chocolate dessert #103,Chocolate Cake
Cold,Various,Happy/Chill,Frozen sweet treat #618,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #753,Ice Cream
Comfort,Western,Low Mood,"Creamy, cheesy pasta #172",Mac & Cheese
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #90,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #145",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #468,Chicken 65
Sweet,Western,Comfort,Rich chocolate dessert #775,Chocolate Cake
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #495",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #185,Khichdi
Salty,American,Snack Craving,Fried potato sticks with salt #53,French Fries
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #113,Nachos
Cold,Various,Tired/Hot Day,Coffee served over ice #649,Cold Coffee
Sweet,Western,Comfort,Rich chocolate dessert #286,Chocolate Cake
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #798",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #857,Cold Coffee
Salty,American,Snack Craving,Fried potato sticks with salt #430,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #239,Hot Chocolate
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #820",Spicy Ramen
Sweet,Western,Comfort,Rich chocolate dessert #175,Chocolate Cake
Crunchy,Indian,Rainy Day,Fried vegetable fritters #610,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #692,Pakora
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #27,Chicken 65
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #559,Gulab Jamun
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #703,Nachos
Crunchy,Indian,Rainy Day,Fried vegetable fritters #785,Pakora
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #371",Fried Chicken
Cold,Various,Happy/Chill,Frozen sweet treat #842,Ice Cream
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #392,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #120,Nachos
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #568,Gulab Jamun
Cold,Various,Happy/Chill,Frozen sweet treat #97,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #76",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #334,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #478,Ice Cream
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #879",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #288,Chicken 65
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #474,Nachos
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #780,Nachos
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #308",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #8",Lemon Pickle
Sweet,Western,Comfort,Rich chocolate dessert #766,Chocolate Cake
Crunchy,Indian,Rainy Day,Fried vegetable fritters #117,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #999,Chocolate Cake
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #63",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #123",Tomato Soup
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #663",Tomato Soup
Comfort,Western,Low Mood,"Creamy, cheesy pasta #277",Mac & Cheese
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #94,Khichdi
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #601,Gulab Jamun
Crunchy,Indian,Rainy Day,Fried vegetable fritters #655,Pakora
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #994,Gulab Jamun
Sweet,Western,Comfort,Rich chocolate dessert #450,Chocolate Cake
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #769",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #992,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #77",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #858",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #73,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #875,Gulab Jamun
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #903",Tomato Soup
Cold,Various,Tired/Hot Day,Coffee served over ice #654,Cold Coffee
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #398",Fried Chicken
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #43",Lemon Pickle
Cold,Various,Happy/Chill,Frozen sweet treat #353,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #783,Gulab Jamun
Crunchy,Indian,Rainy Day,Fried vegetable fritters #492,Pakora
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #759",Spicy Ramen
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #125",Tomato Soup
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #30,Khichdi
Cold,Various,Happy/Chill,Frozen sweet treat #439,Ice Cream
Sweet,Western,Comfort,Rich chocolate dessert #200,Chocolate Cake
Sweet,Western,Comfort,Rich chocolate dessert #721,Chocolate Cake
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #868",Tomato Soup
Crunchy,Indian,Rainy Day,Fried vegetable fritters #112,Pakora
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #74,Gulab Jamun
Sweet,Western,Comfort,Rich chocolate dessert #620,Chocolate Cake
Warm,Western,Cozy/Winter,Warm milk with chocolate #58,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #707,Ice Cream
Salty,American,Snack Craving,Fried potato sticks with salt #94,French Fries
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #967",Spicy Ramen
Crunchy,Indian,Rainy Day,Fried vegetable fritters #660,Pakora
Cold,Various,Happy/Chill,Frozen sweet treat #703,Ice Cream
Cold,Various,Tired/Hot Day,Coffee served over ice #664,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #184,Gulab Jamun
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #564,Khichdi
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #183,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #203,Chicken 65
Warm,Western,Cozy/Winter,Warm milk with chocolate #36,Hot Chocolate
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #56,Chicken 65
Cold,Various,Tired/Hot Day,Coffee served over ice #53,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #98,Gulab Jamun
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #467",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #891",Lemon Pickle
Cold,Various,Happy/Chill,Frozen sweet treat #226,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #605,Gulab Jamun
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #86,Chicken 65
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #93,Khichdi
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #206",Tomato Soup
Salty,American,Snack Craving,Fried potato sticks with salt #193,French Fries
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #779",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #300,Gulab Jamun
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #509",Fried Chicken
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #931",Lemon Pickle
Comfort,Western,Low Mood,"Creamy, cheesy pasta #861",Mac & Cheese
Crunchy,Indian,Rainy Day,Fried vegetable fritters #450,Pakora
Cold,Various,Tired/Hot Day,Coffee served over ice #428,Cold Coffee
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #463,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #516",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #141,Chocolate Cake
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #188",Fried Chicken
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #611",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #246",Fried Chicken
Salty,American,Snack Craving,Fried potato sticks with salt #330,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #238,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #461,Ice Cream
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #817,Gulab Jamun
Salty,American,Snack Craving,Fried potato sticks with salt #101,French Fries
Warm,Western,Cozy/Winter,Warm milk with chocolate #726,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #704",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #755,Chocolate Cake
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #859",Tomato Soup
Crunchy,Indian,Rainy Day,Fried vegetable fritters #94,Pakora
Sweet,Western,Comfort,Rich chocolate dessert #633,Chocolate Cake
Sweet,Western,Comfort,Rich chocolate dessert #601,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #382,Nachos
Sweet,Western,Comfort,Rich chocolate dessert #241,Chocolate Cake
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #523",Spicy Ramen
Warm,Western,Cozy/Winter,Warm milk with chocolate #115,Hot Chocolate
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #211",Fried Chicken
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #378",Sour Candy
Warm,Western,Cozy/Winter,Warm milk with chocolate #670,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #666,Nachos
Comfort,Western,Low Mood,"Creamy, cheesy pasta #631",Mac & Cheese
Warm,Western,Cozy/Winter,Warm milk with chocolate #590,Hot Chocolate
Cold,Various,Happy/Chill,Frozen sweet treat #581,Ice Cream
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #679,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #658",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #318,Gulab Jamun
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #797",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #843",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #71",Lemon Pickle
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #299,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #623,Ice Cream
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #270",Sour Candy
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #409",Tomato Soup
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #637",Sour Candy
Salty,American,Snack Craving,Fried potato sticks with salt #870,French Fries
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #732",Tomato Soup
Warm,Western,Cozy/Winter,Warm milk with chocolate #458,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #193",Mac & Cheese
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #553",Lemon Pickle
Cold,Various,Tired/Hot Day,Coffee served over ice #814,Cold Coffee
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #987",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #912",Spicy Ramen
Sweet,Western,Comfort,Rich chocolate dessert #848,Chocolate Cake
Warm,Western,Cozy/Winter,Warm milk with chocolate #78,Hot Chocolate
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #921,Gulab Jamun
Warm,Western,Cozy/Winter,Warm milk with chocolate #432,Hot Chocolate
Comfort,Western,Low Mood,"Creamy, cheesy pasta #386",Mac & Cheese
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #81",Sour Candy
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #220",Lemon Pickle
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #129,Khichdi
Cold,Various,Tired/Hot Day,Coffee served over ice #343,Cold Coffee
Sweet,Western,Comfort,Rich chocolate dessert #516,Chocolate Cake
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #364,Khichdi
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #179",Spicy Ramen
Crunchy,Indian,Rainy Day,Fried vegetable fritters #773,Pakora
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #907,Gulab Jamun
Sweet,Western,Comfort,Rich chocolate dessert #466,Chocolate Cake
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #488",Tomato Soup
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #571",Lemon Pickle
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #154",Spicy Ramen
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #716",Lemon Pickle
Warm,Western,Cozy/Winter,Warm milk with chocolate #568,Hot Chocolate
Cold,Various,Tired/Hot Day,Coffee served over ice #127,Cold Coffee
Cold,Various,Happy/Chill,Frozen sweet treat #566,Ice Cream
Warm,Western,Cozy/Winter,Warm milk with chocolate #245,Hot Chocolate
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #899",Sour Candy
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #88,Gulab Jamun
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #516",Spicy Ramen
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #274",Fried Chicken
Cold,Various,Tired/Hot Day,Coffee served over ice #198,Cold Coffee
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #853,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #59",Lemon Pickle
Cold,Various,Tired/Hot Day,Coffee served over ice #829,Cold Coffee
Cold,Various,Tired/Hot Day,Coffee served over ice #973,Cold Coffee
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #259,Chicken 65
Crunchy,Indian,Rainy Day,Fried vegetable fritters #104,Pakora
Crunchy,Indian,Rainy Day,Fried vegetable fritters #433,Pakora
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #592",Fried Chicken
Salty,American,Snack Craving,Fried potato sticks with salt #561,French Fries
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #881,Chicken 65
Comfort,Western,Low Mood,"Creamy, cheesy pasta #188",Mac & Cheese
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #842,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #424",Sour Candy
Comfort,Western,Low Mood,"Creamy, cheesy pasta #851",Mac & Cheese
Cold,Various,Tired/Hot Day,Coffee served over ice #734,Cold Coffee
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #17",Lemon Pickle
Crunchy,Indian,Rainy Day,Fried vegetable fritters #120,Pakora
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #967",Fried Chicken
Comfort,Western,Low Mood,"Creamy, cheesy pasta #454",Mac & Cheese
Sweet,Western,Comfort,Rich chocolate dessert #823,Chocolate Cake
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #793,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #466",Spicy Ramen
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #948,Chicken 65
Salty,American,Snack Craving,Fried potato sticks with salt #371,French Fries
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #453,Gulab Jamun
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #115,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #468",Mac & Cheese
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #363,Khichdi
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #278",Fried Chicken
Warm,Western,Cozy/Winter,Warm milk with chocolate #293,Hot Chocolate
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #622,Nachos
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #441",Spicy Ramen
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #691",Sour Candy
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #506",Sour Candy
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #912,Chicken 65
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #736,Chicken 65
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #693",Lemon Pickle
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #107,Chicken 65
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #103",Sour Candy
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #289",Spicy Ramen
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #594,Gulab Jamun
Comfort,Western,Low Mood,"Creamy, cheesy pasta #443",Mac & Cheese
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #555,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #785",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #997,Pakora
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #167",Sour Candy
Crunchy,Indian,Rainy Day,Fried vegetable fritters #942,Pakora
Sweet,Indian,Celebration,Deep-fried milk balls in syrup #191,Gulab Jamun
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #754",Tomato Soup
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #951,Nachos
Cold,Various,Happy/Chill,Frozen sweet treat #319,Ice Cream
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #811,Nachos
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #909,Khichdi
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #596,Nachos
Warm,Various,Sad/Comfort,"Warm, slightly tangy tomato soup #600",Tomato Soup
Sweet,Western,Comfort,Rich chocolate dessert #803,Chocolate Cake
Comfort,Western,Low Mood,"Creamy, cheesy pasta #257",Mac & Cheese
Salty,American,Snack Craving,Fried potato sticks with salt #435,French Fries
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #575,Nachos
Salty,American,Snack Craving,Fried potato sticks with salt #792,French Fries
Crunchy,Indian,Rainy Day,Fried vegetable fritters #829,Pakora
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #777,Nachos
Crunchy,Indian,Rainy Day,Fried vegetable fritters #718,Pakora
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #452,Khichdi
Comfort,Western,Low Mood,"Creamy, cheesy pasta #446",Mac & Cheese
Crunchy,American,Stress Relief,"Crispy skin, juicy meat #76",Fried Chicken
Salty,Mexican,Movie Mood,Corn chips topped with cheese/salsa #880,Nachos
Sour,Indian,Appetite Boost,"Tangy, spicy condiment #329",Lemon Pickle
Cold,Various,Happy/Chill,Frozen sweet treat #134,Ice Cream
Cold,Various,Happy/Chill,Frozen sweet treat #458,Ice Cream
Comfort,Indian,Sick/Relaxed,Light rice and lentil porridge #502,Khichdi
Sour,Various,Fun/Playful,"Tart and sweet, often chewy #532",Sour Candy
Sweet,Western,Comfort,Rich chocolate dessert #627,Chocolate Cake
Spicy,Indian,Adventurous,Deep-fried spicy chicken bites #161,Chicken 65
Spicy,Japanese,Energetic,"Noodles in hot, spicy broth #718",Spicy Ramen
